SI.NO.,ACCESS NO.,TITLE OF THE BOOK,,AUTHORS,PUBLICATION,,COST,
293,CS297,Digital Fundamentals,,Floyd & Jain,Pearson Education,,-,
294,CS298,Numerical Methods,,J.S. Chitode,Technical,,-,
295,CS299,JAVA,,Prof D. Shanmugam,-,,-,
296,CS300,Computer Fundamentals And Programming In C,,"Anitha Goel,Ajay Mittal",Pearson Education,,-,
297,CS301,Web Technologies,,Uttam K. Roy,Oxford Higher Education,,-,
298,CS302,Database system concpets,,"Abraham Silberscahatz,Henry F Korth,S.Sudarshan",McGraw-Hill Edition,,-,
299,CS303,Metrics And Models In Software Quality Engineering,,Stephen H.Kan,Pearson Education,,-,
300,CS304,Theoretical Foundations Of Computer Science,,J.Sakthivel,Suchitra Publications,,-,
301,CS305,Object Oriented Analyses and Design,,J.Avanja,Anuratha publication,,-,
302,CS306,Data Structures,,"T. Sheela, N. Susila",Anuradha,,-,
303,CS307,Foundation of Software Testing,,Aditya P. Mathur,Pearson Education,,-,
304,CS308,Developing Applications Using ASP. NET and Oracle,,Pranab Kumar Das Gupta,Prentice Hall India,,-,
305,CS309,Database Systems,,S.K. Singh,Pearson Education,,-,
306,CS310,Distributed Computing,,"Sunitha Mahajan,Seema Shah",Oxford university Press,,-,
307,CS311,Software Engineering,,Deepak Jain,Oxford Higher Education,,-,
308,CS312,Grid Computing,,"Joshy Joseph,Craig fellenstein",Pearson Education,,-,
309,CS313,Fundamentals of computing and programming,,"V.Ramesh
Babu,R.Samyuktha,M.Muni Rathnam",VRM  Publishers Pvt Ltd,,-,
310,CS314,Software Quality,,Alan C Gillies,Cengage learning,,-,
311,CS315,Programming c# 3.0,,Jesse liberty and Donald xie,Shroff publishers,,-,
312,CS316,A Text Book Of Engineering Mathematics,,"Dr.P.N.Ramachandran,R.Kumar",Madhukaa Publishers,,,
313,CS317,Environmental Science And Engineering,,"Anubha Kaushik ,C.P.Kaushik",New Age International Publishers,,,
314,CS318,Essentials of Management,,"Harold Koontz,Heinz Weihrich",Tata Mcgraw Hill,,-,
315,CS319,Cryptography and network security,,William stallings,pearson Education,,-,
316,CS320,Communication Electronics,,"N D Deshpande,D A Deshpande",Tata McGraw Hill,,-,
317,CS321,Numerical Methods,,"P. Kandasamy,K.Thilagavathy,K. Gunavathi",S. Chand,,-,
318,CS322,Management Information Systems,,"Gordon B. Davis,Margrethe H. Olson",McGraw Hill,,-,
319,CS323,Ethics In Engineering,,"Mike W.Martin,Roland Schinzinger",Tata McGraw –Hill Publishing Company Limited,,-,
320,CS324,Programming with Fortran 77,,Ram Kumar,Tata McGraw –Hill Publishing Company Limited,,-,
321,CS325,IBM PC and Clones,,B.Govindarajalu,Tata McGraw –Hill Publishing Company Limited,,-,
322,CS326,Digital Electronics,,William H. Gothmann,Prentice Hall India,,-,
323,CS327,Control Systems Engineering,,"I.J. Nagrath,M. Gopal",New Age,,-,
324,CS328,Engineering Economics and Management,,Dr. R. Jayaraman,Ajay,,-,
325,CS329,Communication Electronics,,"N D Deshpande,D A Deshpande",Tata McGraw Hill,,-,
326,CS330,Object oriented Systems Development,,Ali Bahrami,McGrawHill,,-,
327,CS331,Computer Programming,,Ashok N. Kamthane,Pearson,,-,
328,CS332,Microprocessors,,"A.P. Godse,D. A. Godse",Technical,,-,
329,CS333,Programming with ANSI C++,,Bhushan Trivedi,Oxford Higher Education,,-,
330,CS334,Accounting and Financial Management,,T. Ramachandran,Scitech,,-,
331,CS335,Engineering Mathematics –III,,Dr. P. N. Ramachandran,Ajay,,-,
332,CS336,Ethics in Engineering,,"Mike W. Martin,RolandSchinzinger",Tata McGraw Hill,,-,
333,CS337,Analog and Digital Communication,,"K. Muralibabu,L Agilandeeswari",A.R.S.,,-,
334,CS338,Control Systems Engineering,,"I.J.Nagrath,M.Gopal",New Age International Publishers,,-,
335,CS339,Engineering Economics And Management,,P.N.Kaliyaperumal,Madhukaa Publishers,,-,
336,CS340,Engineering Mathematics VolumeIII,,"P.Kandasamy,K.Thilagavathy,K.G unathy",S.Chand,,-,
337,CS341,Fundamentals Of Electrical Engineering And Electronics,,B.L.Theraja,S.Chand,,-,
338,CS342,Engineering Economics And Financial Accounting,,"A.Ramachandra Aryasri,VV.Ramana Murthy",Tata McGraw- Hill,,-,
339,CS343,Engineering Economics And Financial Accounting,,"A.Ramachandra Aryasri,VV.Ramana Murthy",Tata McGraw- Hill,,-,
340,CS344,Computer Graphics  C  Version,,"Donald Hearn,M.Pauline Baker",Pearson,,-,
341,CS345,Electronic Devices and circuits,,J. B. Gupta,Katson Books,,-,
342,CS346,Microcomputer Systems:The 8086/8088 family,,"Yu-cheng Liu,Glenn A. Gibson",Prentice Hall India,,-,
343,CS347,Communication Electronics,,"N D Deshpande,D A Deshpande",Tata McGraw Hill,,-,
344,CS348,Introduction to Operations Research,,Billy E. Gillett,Tata McGraw Hill,,-,
345,CS349,Introduction to Operations Research,,Billy E. Gillett,Tata McGraw Hill,,-,
346,CS350,A Textbook of Engineering Graphics,,K.V. Natarajan,Dhanalakshmi,,-,
347,CS351,Digital Logic and Computer Design,,M. Morris Mano,Prentice Hall India,,-,
348,CS352,Management Information Systems,,"Gordon B. Davis,Magrethe H. Olson",McGraW Hill,,-,
349,CS353,Computer Architecture and Parallel Processing,,Faye A. Briggs,McGraW Hill,,-,
350,CS354,Engineering Economics and management,,Dr. P.N. kaliyaperumal,Madhukka,,-,
351,CS355,Industrial Safety and Environment Engineering,,S.C. Sharma,Technical Publication,,-,
352,CS356,Industrial Safety and Environment Engineering,,S.C. Sharma,Technical Publication,,-,
353,CS357,Communication Electronics,,"N.D.Deshpande,D.A Deshpande,P.K Rangole",Tata McGraw –Hill Publishing Company Limited,,-,
354,CS358,Management Information Systems,,W.S.Jawadekar,Tata McGraw –Hill Publishing Company Limited,,-,
355,CS359,Principles Of Environmental Science And Engineering,,"M.Sivakumar,R.Saravanan",Lakshmi Publications,,110,
356,CS360,Environmental Science And Engineering,,D.Sivakumar,Ajay Agencies,,195,
357,CS361,Engineering Mathematics -III,,N.Subramaniam,SCM Publishers,,-,
358,CS362,Management Economics,,D.N.Dwivedi,Vikas Publishers,,-,
359,CS363,"Probability,Statistics and random Processes",,T.Veerarajan,Tata McGraw –Hill Publishing Company Limited,,-,
360,CS364,Numerical Methods,,"P. Kandasamy,K. Thilagavathy,K. Gunavathi",S. Chand,,-,
361,CS365,Engineering Mathematics-II,,N. Subramaniyan,Scitech,,-,
362,CS366,Engineering Mathematics- III,,Dr. P. N. Ramachandran,Ajay,,-,
363,CS367,Electronic Circuits,,"A.P. Godse,U.A. Bakshi",Technical,,-,
364,CS368,"Probability, Statistics and random process",,T. Veerarajan,Tata McGraw Hill,,-,
365,CS369,Computer Algorithms,,"Saara Baase,Allen Ver Gelder",Pearson,,-,
366,CS370,Electrical Engineering & Control Systems,,"U. A. Bakshi,D.A. Bakshi",Technical,,-,
367,CS371,Computer Graphics,,"Donald Hearn,M. Pauline Baker",Prentice Hall India,,-,
368,CS372,Manegerial Economics,,"R.L. Varhney,K.L. Maheshwari",Sultan Chand and sons,,-,
369,CS373,Distributed Systems,,"George Coulouris, Jean Dollimore, Tim Kindberg",Pearson,,-,
370,CS374,Electric Circuits,,"R. Muthusubramanian,K. Ayyappan",Gemini,,-,
371,CS375,Industrial Robotics,,"Mikell P. Groover,Mitchell
Weiss,Roger N. Nagel,Nicholas G. Odrey",McGraw Hill,,-,
372,CS376,Engineering Mathematics,,A.    Singaravelu,Meenakshi Publications,,-,
373,CS377,Computer Graphics,,"Donald Hearn,M. Pauline Baker",Prentice Hall India,,-,
374,CS378,"Probability, Statistics and random Process",,T. Veerarajan,Tata McGraw Hill,,-,
375,CS379,Fundamentals of Computing,,E Balagurusamy,McGraw Hill,,-,
376,CS380,Fundamentals of Computing,,T. Jeyapoovan,Vikas,,-,
377,CS381,Electronic Devices and Circuits,,"S. Salivahanan,N Suresh Kumar,A Vallavaraj",Tata McGraw Hill,,-,
378,CS382,Microprocessors and Microcomputer-based System Design,,Mohamed Rafiquzzaman,Universal Book Stall,,-,
379,CS383,Digital Instrumentation,,A.    J. Bouwens,Tata McGraw Hill,,-,
380,CS384,Total Quality Management,,Besterfield et. al.,Pearson Education,,-,
381,CS385,Electron Devices and Circuits,,G. Nagarajan,Lakshmi Publications,,-,
382,CS386,Database Systems,,"Elmasri, Navathe","The Benjamin/ Cummings Publishing Company, Inc",,-,
383,CS387,Computer Programming,,Ashok.N.Kamthane,Pearson,,-,
384,CS388,Total quality management,,"Dale H.Besterfield,Carol besterfield-Michna",Pearson Education,,-,
385,CS389,Data Structures and Algorithm Analysis in C,,Mark Allen Weiss,Pearson Education,,-,
386,CS390,Digital Technology,,S.Ramalatha,Lakshmi publications,,-,
387,CS391,Computer organization,,"Carl Hamacher, Zvonko vranesic,safwat zaky",McGraw- Hill,,-,
388,CS392,"Solved University question papers, Engineering Mathematics",,A.Singaravelu,Meenakshi publications,,-,
389,CS393,"Basic Electrical, Electronics and Computer Engineering",,R. Muthusubramanian,Tata McGraw Hill,,-,
390,CS394,Design & Analysis of Algorithm,,A.A. puntambekar,Technical,,-,
391,CS395,Management Information Systems,,"Gordon B. Davis,Margrethe H. Olson",McGrawHill,,-,
392,CS396,Introduction to PASCAL,,"Jim Welsh ,John Elder",Prentice Hall India,,-,
393,CS397,Engineering Mathematics Vol-II,,"P. Kandasamy,K. Thilagavathy,K. Gunavathy",S. Chand,,-,
394,CS398,Microprocessors and Interfacing,,Douglas V. Hall,Tata McGraw Hill,,-,
395,CS399,Computer Architecture and Logic Design,,Thomas C. Bartee,McGraw Hill,,-,
396,CS400,Electronic Devices And Circuits,,G.K.Mithal,Khanna Publishers,,135,
397,CS401,Computer Organization,,"Carl Hamacher,Zvonko Vranesic,Safwat Zaky",McGraw –Hill Publishers,,-,
398,CS402,Solution On Problems In Circuit Theory,,R.Srinivasan,Priya Pathippaham Publishers,,99,
399,CS403,Linear Integrated Circuits,,G.Nagarajan,Lakshmi Publications,,105,
400,CS404,Linear Integrated Circuits,,"D.Roy Choudhury,Shail Jain",New Age International Publishers,,-,
401,CS405,Discrete –Event System Simulation,,"Jerry Banks,John S.Carson,II Barry L.Nelson",Prentice Hall of India,,-,
402,CS406,Enterprise Resource Planning,,Alexis Leon,Tata McGraw –Hill Publishing Company Limited,,-,
403,CS407,"Microprocessor Architecture, Programming, and Applications with the 8085",,Ramesh Goankar,Penram International,,-,
404,CS408,Digital Computer Electronics,,"Malvino,Brown",Tata Mcgraw Hill,,-,
405,CS409,Computer Algoritms / C++,,"Ellis Horowitz,Sartaj Sahni,Sanguthevar Rajasekaran",University Press,,-,
406,CS410,Object oriented programming in Turbo C++.,,Robert Lafore,Galgotia,,-,
407,CS411,Computer Architecture and Parallel Processing,,Faye A. Briggs,McGraw Hill,,-,
408,CS413,Engineering Mathematics,,"Dr. P. N. Ramachandran,R. Kumar",Madhukka,,-,
409,CS414,"Probability, Statistics and Random Process",,T Veerarajan,Tata McGraw Hill,,-,
410,CS415,Management Information Systems,,W S Jawadekar,Tata McGraw Hill,,-,
411,CS416,Control Systems Engineering,,"I.J. Nagrath,M. Gopal",New Age,,-,
412,CS417,Electrical Engineering,,"S. Rajasekar,A. Moses",John,,-,
413,CS418,Microprocessors and Interfacing,,Douglas V. Hall,Tata McGraw Hill,,-,
414,CS419,Industrial Engineering and Management,,O.P. Khanna,Dhanpat Rai Publication,,-,
415,CS420,The Intel Microprocessors,,Barry B.Brey,Pearson Education,,-,
416,CS421,Computer Programming,,Ashok N.Kamthane,Pearson Education,,-,
417,CS422,Fundamentals of Programming Languages,,Ellis Horowitz,Galgotia Publications,,-,
418,CS423,Object oriented Programming with C++,,E.Balagurusamy,Tata McGraw –Hill Publishing Company Limited,,-,
419,CS424,Fundamentals of Computing And Programming,,E.Balagurusamy,Tata McGraw –Hill Publishing Company Limited,,-,
420,CS425,Programming With ANSI C++,,Bhushan Trivedi,Oxford University Press,,-,
421,CS426,Management Information Systems,,W.S.Jawadekar,Tata McGraw –Hill Publishing Company Limited,,-,
422,CS427,Digital Electronics,,William H.Gothmann,Prentice Hall of India,,110,
423,CS428,Microprocessor & Applications,,"A.P. Godse,D.A. Godse",Technical,,-,
424,CS429,Database System Concepts,,"Abraham Silberschatz,Henry F. Korth,S. Sudarsan",McGraw Hill,,-,
425,CS430,Electrical Engineering & Control Systems,,"U.A Bakshi,V. U. Bakshi",Technical,,-,
426,CS431,Engineering Mathematics,,"Dr. P. N. Ramachandran,R. Kumar",Madhukka,,-,
427,CS432,Microprocessors and Microcomputer-based System Design,,Mohamed Rafiquzzaman,Universal Book Stall,,-,
428,CS433,Computer Architecture and parallel processing,,Faye A.Briggs,McGrawHill,,-,
429,CS434,Electronic Communications Systems,,Wayne Tomasi,Pearson Education,,-,
430,CS435,Cryptography And Network Security,,William Stallings,Pearson Education,,-,
431,CS436,Total Quality Management,,"Dale H.Besterfield,Carol
Besterfield-Michna,Glen Besterfield,Mary Besterfield-Sacre",Pearson Education,,-,
432,CS437,Electrical Engineering & Control Systems,,"Uday A.Bakshi,Ajay V.Bakshi",Techinical Publications,,-,
433,CS438,Engineering Mathematics,,"P.N.Ramachandran,R.Kumar",Madhukaa Publishers,,-,
434,CS439,Electronic Communication Systems,,George Kennady,Tata McGraw –Hill Publishing Company Limited,,-,
435,CS440,A Text Book Of Electrical Technology,,"B.L.Theraja,A.K.Theraja",S.Chand & Company Ltd,,-,
436,CS441,Linear Integrated Circuits,,G.Nagarajan,Lakshmi Publications,,-,
437,CS442,Software Engineering,,Roger S.Pressman,McGraw –Hill Publishers,,-,
438,CS443,Electronic Circuit Theory,,"M.Arumugam,N.Premakumaran",Khanna Publishers,,55,
439,CS444,Engineering Economics and management,,Dr. R. Jayaraman,Ajay,,-,
440,CS445,Theory Of Computation,,A.A.Puntambekar,Technical Publications,,399,
441,CS446,Communication Systems,,Simon Haykin,John Wiley & Sons,,-,
442,CS447,Essentials Of Management,,"Harold Koontz,Heinz Weihrich",Tata McGraw –Hill Publishing Company Limited,,-,
443,CS448,The Intel Microprocessors,,Barry B.Brey,Pearson Education,,-,
444,CS449,Java 2 The Complete Reference,,Herbert Schildt,Tata McGraw –Hill Publishing Company Limited,,-,
445,CS450,Distributed Systems,,"George Coulouris,Jean Dollimore,Tim Kindberg",Pearson Education,,-,
446,CS451,Mobile Computing,,"K. Muralibabau,L. Agilandeeswari,K. Vinothbabu",Lakshmi,,-,
447,CS452,Quantitative Aptitude,,Dr. R.S. Aggarwal,S. Chand & Company Pvt. Ltd,,-,
448,CS453,Computer Programming,,E. Balagurusamy,McGraw Hill Education,,-,
449,CS454,Computer Programming,,Dr. A. Kannan,UG Publishers,,-,
450,CS455,Computer Programming,,Dr. A. Kannan,UG Publishers,,-,
451,CS456,Transforms and Partial Differential Equations,,N.Subramaniam,SCM Publisher,,-,
452,CS457,Probability & Queuing theory,,N.Subramaniam,SCM Publisher,,-,
453,CS458,compilers,,"Alfred V.Aho, Monica S. Lam, Ravi Sethi, Jeffrey D.Ullman",Pearson Education,,-,
454,CS459,compilers,,"Alfred V.Aho, Ravi Sethi, Jeffrey D.Ullman",Pearson Education,,-,
455,CS460,compilers,,"Alfred V.Aho, Monica S. Lam, Ravi Sethi, Jeffrey D.Ullman",Pearson Education,,-,
456,CS461,Artificial Intelligence,,"Stuart Russel, Peter Norvig",Prentice Hall,,-,
457,CS464,compilers,,"Alfred V.Aho, Monica S. Lam, Ravi Sethi, Jeffrey D.Ullman",Pearson Education,,-,
458,CS465,System Software,,"Leland L.Beck,D.Manjula",Pearson Education,,-,
459,CS466,"Automata Theory, Languages, and Computation",,"John E. Hopcroft,Rajeev Motwani,Jeffrey D. Ullman",Pearson Education,,-,
460,CS467,Software Engineering,,Roger S.Pressman,Tata McGraw-Hill,,-,
461,CS468,Object Oriented Analysis & Design,,A.A Puntambekar,Technical Publications,,-,
462,CS469,Computer Graphics  C  Version,,"Donald Hearn, M.Pauline Baker",Pearson Education,,-,
463,CS470,compilers,,"Alfred V.Aho, Monica S. Lam, Ravi Sethi, Jeffrey D.Ullman",Pearson Education,,-,
464,CS471,Multimedia System Design,,"Prabhat K. Andleigh, Kiran Thakrar",Prentice Hall of India,,-,
465,CS472,Computer Graphics  C  Version,,"Donald Hearn , M. Pauline Baker",Pearson Education,,-,
466,CS473,Computer Architecture,,"M.Vengatesan, P. Meenakshi Devi",A. R. Publications,,-,
467,CS474,Elements of Data Communications and Networks,,S.A. Amutha Jeevakumari,University Science Press,,-,
468,CS475,Online Real Time Systems,,-,-,,-,
469,CS476,Programming With ANSI C++,,Bhushan Trivedi,Oxford University Press,,-,
470,CS477,Electronic Communications Systems,,Wayne Tomasi,Pearson Education,,-,
471,CS478,Object Oriented Analysis & Design,,A.A. puntambekar,Technical Publications,,-,
472,CS479,Object Oriented Analysis & Design,,V. Vimala,Sree Magnus Publication,,-,
473,CS480,"Automata Theory, Languages, and Computation",,"John E. Hopcroft,Rajeev Motwani,Jeffrey D. Ullman",Pearson Education,,-,
474,CS481,Win Guide,,ARS,ARS Publication,,-,
475,CS482,Computer Programming,,T. Jayapoovan,Vikars Publishing House P.Ltd,,-,
476,CS483,Data Structures and program design in C,,"Robert Kruse, C.L. Tonalo, Bruce Leung",Prentice Hall,,-,
477,CS484,Operation Research,,Hamaly A. Taha,Prentice Hall,,-,
478,CS485,Visual C++6,,John Paul Mueller,TATA MCGRAW HILL,,-,
479,CS486,Computer Communication Networks,,"Godbole, Kahate",TATA MCGRAW HILL,,-,
480,CS487,Network Programming and Management,,"Bagad, Dhotre",Technical Publication,,-,
481,CS488,Fundamental of Logic Design,,Charles H.Roth,Thomson Brooks/Cole,,-,
482,CS489,Software Testing,,"Desikan, Ramesh",Pearson Education,,-,
483,CS490,Computer Architecture and Organization,,B. Govindarajalu,TATA MCGRAW HILL,,-,
484,CS491,SQL Forms- Designer's Reference,,ORACLE Team,ORACLE,,-,
485,CS492,"Operating Systems- windows, DOS&OS/2",,"Mehta, Bangia",Wheeler Publication,,-,
486,CS493,Professional Ethics,,"Dr. K.R.Govindan, S. Senthil Kumar",Anuradha Agencies,,-,
487,CS494,Compiler Design,,S. saranya,Suchitra Publications,,-,
488,CS495,Digital Signal Processing,,"L. Gopinath, S. Kanimozhi",Lakshmi Publications,,-,
489,CS496,Design and Analysis of Algorithm,,K.Brindha,Suchitra Publications,,-,
490,CS497,C# and .Net Programming,,N. Rajganesh,Suchitra Publications,,-,
491,CS498,Data Warehousing and Mining,,"R.Ruhin Kouser, B. Gunasundari",Lakshmi Publications,,-,
492,CS499,Computer Architecture,,S. Kanimozhi,Suchitra Publications,,-,
493,CS500,Programming and Data Structures - I,,S. saranya,Lakshmi Publications,,-,
494,CS501,Digital Principles and System Design,,L. Gopinath,ARS Publication,,-,
495,CS502,Design and Analysis of Algorithm,,A.A.Puntambekar,AR Publication,,-,
496,CS503,Compiler Design,,K. Krishna Kumari,ARS Publication,,-,
497,CS504,Software Engineering,,J. Daphney Joann,AR Publication,,-,
498,CS505,Operating Systems,,R.Ruhin Kouser,AR Publication,,-,
499,CS506,Parallel Computing,,Michael J. Quinn,TATA MCGRAW HILL,,-,
500,CS507,Problems in Operations Research,,"P.R. Gupta, D.S. Hira",S. Chand & Company Ltd,,-,
501,CS508,UML Distilled,,"Booch, Jacobson, Rumbaugh",Pearson Education,,-,
502,CS509,Management Accounting,,"R. Ramachandran, R.Srinivasan",Sriram Publications,,-,
503,CS510,Emdedded Systems,,Raj Kamal,TATA MCGRAW HILL,,-,
504,CS511,Programming and Logic Design,,Joyce Farrell,Thomson Learning,,-,
505,CS512,Data Communication and Computer Networks,,Brinjendra Singh,Pearson Education,,-,
506,CS513,Oracle8 Database Development,,David Lockman,SAMS Publishing,,-,
507,CS514,Inside CORBA,,"Thomas J. Mowbray, William A. Ruh",Pearson Education,,-,
508,CS515,Grid Computing,,"Joshy Joseph, Craig Fellenstein",Pearson Education,,-,
509,CS516,Managing Global Software Projects,,Gopalaswamy Ramesh,TATA MCGRAW HILL,,-,
510,CS517,The Management and Control of Quality,,"James R. Evans, William M. Lindsay",Thomson South-Western,,-,
511,CS518,Developing Client/Server Applications with Oracle,,Paul Hipsley,SAMS Publishing,,-,
512,CS519,Introduction to Information Technology,,ITL Team,ITL Education Solutions Ltd,,-,
513,CS520,Computer Networking,,"James F. Kurose, Keith W. Ross",Pearson Education,,-,
514,CS521,Modern Database Management,,"Jeffrey A. Hoffer, Mary B. Prescott",Pearson Education,,-,
515,CS522,Programming with Java 2-A primer,,E. Balagurusamy,TATA MCGRAW HILL,,-,
516,CS523,OCP Oracle DBA,,Willard Baird II,Techmedia,,-,
517,CS524,An Integrated Approach to Software Engineering,,Pankaj Jalote,Narosa Publishing House,,-,
518,CS525,Parallel Computing,,Moreshwar R. Bhujade,New Age International Publishers,,-,
519,CS526,Principles of Neurocomputing for Science & Engineering,,"Fredric M. Ham, Ivica Kostanic",TATA MCGRAW HILL,,-,
520,CS527,Management Information System,,W S Jawadekar,TATA MCGRAW HILL,,-,
521,CS528,Professional Ethics,,"Dr. K.R.Govindan, S. Senthil Kumar",Anuradha Agencies,,-,
522,CS529,MPLS and VPN Architectures,,"Ivan Pepelnjak, Jim Guichard",Pearson Education,,-,
523,CS530,Accounting Information Systems,,"Gelinas, Sutton, Oram",South-Western College Publishing,,-,
524,CS531,Operating Systems,,"Godbole, Kahate",TATA MCGRAW HILL,,-,
525,CS532,Advanced Compiler Design Implementation,,Steven S. Muchnick,Harcourt Asia PTE Ltd,,-,
526,CS533,Digital Computer Fundamentals,,"V. Ramesh Babu, R. Samyuktha",VRB Publishers,,-,
527,CS534,An Introduction to Distributed and Parallel Computing,,Joel M. Crichlow,Prentice Hall,,-,
528,CS535,Database Management Systems,,"Subhash Mehta, Ramesh Bangia",Wheeler Publication,,-,
529,CS536,Database Management Systems,,R. Panneerselvam,Prentice Hall,,-,
530,CS537,CMMI Guidelines for Process Integration and Product Improvement,,"Mary Beth Chrissis, Mike Konrad",Pearson Education,,-,
531,CS538,Core Java 2 Vol-2,,"Cay S. Horstmann, Gary Cornell",Pearson Education,,-,
532,CS539,Computer Graphics  C  Version,,"Donald Hearn, M. Pauline Baker",Pearson Education,,-,
533,CS540,Web Technology,,A.A. puntambekar,Technical Publication,,-,
534,CS541,Operating System,,I.A. Dhotre,Technical Publication,,-,
535,CS542,Advance Microprocessors and Peripherals,,"A k Ray, K M Bhurchandi",TATA MCGRAW HILL,,-,
536,CS543,Data Mining,,"Jiawei Han, Micheline Kamber",Elsevier,,-,
537,CS544,Computer Graphics,,"A.P. Godse, D.A. Godse",Technical Publication,,-,
538,CS545,Grid and Cluster Computing,,C.S.R. Prabhu,PHI Learning Pvt Ltd,,-,
539,CS546,Essentials Of TCP/IP,,G. Shanmugarathinam,University Science Press,,-,
540,CS547,Electrical Power Systems Quality,,"Roger C.Dugan, Mark F. McGranaghan",TATA MCGRAW HILL,,-,
541,CS548,Mobile Communications Engineering,,William C.Y. Lee,TATA MCGRAW HILL,,-,
542,CS549,"Introduction to Automata Theory, Languages, and Computation",,"John E. Hopcroft,Rajeev Motwani,Jeffrey D. Ullman",Pearson Education,,-,
543,CS551,Data Structures and Algorithm Analysis in C,,Mark Allen Weiss,Pearson Education,,-,
544,CS552,Electronic Communications Systems,,Wayne Tomasi,Pearson Education,,-,
545,CS553,Electronic Communications Systems,,Wayne Tomasi,Pearson Education,,-,
546,CS554,Electronic Devices And Circuits,,"Jacob Millman, Christos C Halkias, Satyabrata Jit",TATA MCGRAW HILL,,-,
547,CS555,Probability and Queuing Theory,,N. Subramaniam,SCM Publisher,,-,
548,CS556,The C Programming Language,,"Brian w.kernighan, Dennis M. Ritchie",PHI Learning Pvt Ltd,,-,
549,CS557,Computer Programming,,Ashok N. Kamthane,Pearson Education,,-,
550,CS558,Web Technology,,"N. P. Gopalan, J. Akilandeswari",PHI Learning Pvt Ltd,,-,
551,CS559,Computer Fundamentals And Programming In C,,"Anitha Goel,Ajay Mittal",Pearson Education,,-,
552,CS560,Object-Oriented Programming with C++,,E. Balagurusamy,TATA MCGRAW HILL,,-,
553,CS561,Operating System Concepts,,"Silbershat, Galvin, Gagne",John Wiley & Sons,,-,
554,CS562,Course Guide: C++,,SRM Infotech Team,SRM Infotech,,-,
555,CS563,Course Guide: C,,SRM Infotech Team,SRM Infotech,,-,
556,CS564,Course Guide: C,,SRM Infotech Team,SRM Infotech,,-,
557,CS565,Teach Yourself C++,,Jesse liberty and Bradley Jones,Pearson Education,,-,
558,CS566,Computer Architecture,,"A.P. Godse, D.A. Godse",Technical Publication,,-,
559,CS567,Computer Architecture,,"M. Venkatesan, P. Meenakshi Devi",AR Publication,,-,
560,CS568,Advanced Computer Architecture,,I.A. Dhotre,Technical Publication,,-,
561,CS569,Mobile Computing,,V. Jeyasri Arokiamary,Technical Publication,,-,
562,CS570,Advanced Computer Architecture,,I.A. Dhotre,Technical Publication,,-,
563,CS571,Microprocessors and Microcontrollers,,"D. Venkata Vara Prasath, K.R.
Sarath Chandran, J.S. Leena Jasmine",Sree Magnus Publication,,-,
564,CS572,Digital Design,,"M. Morris Mano, Michael D. Ciletti",Pearson Education,,-,
565,CS573,System Software,,"Leland L.Beck,D.Manjula",Pearson Education,,-,
566,CS574,Compilers,,"Alfred V. Aho, Monica S. Lam, Ravi Sethi, Jeffrey D. Ullman",Pearson Education,,-,
567,CS575,Digital Design,,"M.Morris,Michael D.Ciletti,John F.Wakerly",Pearson Education,,-,
568,CS576,Data Interpretation &Data Sufficiency,,Ananta Ashisha,Axiom Academy,,-,
569,CS577,Data Interpretation &Data Sufficiency,,Ananta Ashisha,Axiom Academy,,-,
570,CS578,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
571,CS579,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
572,CS580,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
573,CS582,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
574,CS583,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
575,CS584,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
576,CS585,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
577,CS586,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
578,CS587,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
579,CS588,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
580,CS589,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
581,CS590,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
582,CS591,Quantitative Aptitude Book2,,Axiom,Axiom Academy,,-,
583,CS592,Marangalum Thiruththalangalum,,Dr.S.Tamilrasan,Kurinji Publication,,-,
584,CS593,Oru Indianin Airopiya Anubhavam,,Dr.S.Tamilrasan,Kurinji Publication,,-,
585,CS594,Computer Science and Engineering  (I Year),,-,Pratheeba Publication,,-,
586,CS595,A TextBook Of Digital Electronics,,R.S.Sedha,S.Chand &Company LTD.,,-,
587,CS596,Digital Design,,M.Morris Mano,Prentice- Hall of India,,-,
588,CS597,Electronic Devices And Circuits( vol-I),,G.K.Mithal,Khanna Publishers,,-,
589,CS598,Biomedical Instrumentation,,Dr.M.Arumugam,Anuradha Agencies publishers,,-,
590,CS599,Electronic Devices,,K.S.Srinivasan,Anuradha Agencies publishers,,-,
591,CS600,Digital Systems principles & design,,Raj Kamal,Pearson education,,-,
592,CS601,Field Theory,,"K.A.Gangadhar,P.M.Ramanathan",Khanna Publishers,,-,
593,CS602,Transmission Lines And Network,,Umeah Sinha,Tech India Publication,,-,
594,CS603,King's Personneal Management &Industrial Relations,,"Dr.M.M.Varma , R.K.Aggarwal",King* Books,,-,
