SI.NO.,ACCESS NO.,TITLE OF THE BOOK,,AUTHORS,PUBLICATION,,COST,
68,CS068,Artificial Intelligence,,"Elaine Rich,Kevin Knight",Tata Mcgraw Hill,,-,
69,CS069,Artificial Intelligence,,"Elaine Rich,Kevin Knight",Tata Mcgraw Hill,,-,
70,CS070,Artificial Intelligence,,"Elaine Rich,Kevin Knight",Tata Mcgraw Hill,,-,
71,CS071,Artificial Intelligence,,"Elaine Rich,Kevin Knight",Tata Mcgraw Hill,,-,
72,CS072,Artificial Intelligence,,"Elaine Rich,Kevin Knight",Tata Mcgraw Hill,,-,
73,CS073,Artificial Intelligence,,"Stuart Russell,Peter Norvig",Pearson Education,,-,
74,CS074,Artificial Intelligence,,"Stuart Russell,Peter Norvig",Pearson Education,,-,
75,CS075,Artificial Intelligence,,"Stuart Russell,Peter Norvig",Pearson Education,,-,
76,CS076,Artificial Intelligence,,"Stuart Russell,Peter Norvig",Pearson Education,,-,
77,CS077,Computer Graphics,,"Donald Hearn,M.Pauline Baker",Prentice Hall of India,,-,
78,CS078,Computer Graphics,,"Donald Hearn,M.Pauline Baker",Prentice Hall of India,,-,
79,CS079,"Microprocessor Architecture , Programming, and Applications With The 8085",,Ramesh Gaonkar,Penram International Publications,,-,
80,CS080,"Microprocessor Architecture , Programming, and Applications With The 8085",,Ramesh Gaonkar,Penram International Publications,,-,
81,CS081,"Microprocessor Architecture , Programming, and Applications With The 8085",,Ramesh Gaonkar,Penram International Publications,,-,
82,CS082,Microcomputer Systems: The 8086/8088 Family,,"Yu-Cheng Liu,Glenn A. Gibson",Prentice Hall India,,-,
83,CS083,Microprocessors And Microcomputer-based system design,,Mohamed Rafiquzzaman,UBS Publishers,,-,
84,CS084,"Microprocessor Architecture , Programming, and Applications With The 8085",,Ramesh Gaonkar,Penram International Publications,,-,
85,CS085,Essentials of Visual Modeling with  UML 2.0,,-,IBM,,-,
86,CS086,Essentials of Visual Modeling with  UML 2.0,,-,IBM,,-,
87,CS087,Essentials of Visual Modeling with  UML 2.0,,-,IBM,,-,
88,CS088,Essentials of Rational Clearcase UCM v7.0 for Unix,,-,IBM,,-,
89,CS089,Essentials of Functional Testing with IBM Rational,,-,IBM,,-,
90,CS090,Essentials of IBM Rational Software Architect V7.0,,-,IBM,,-,
91,CS091,Essentials of IBM Rational Requisite Pro 7.0,,-,IBM,,--,
92,CS092,Mastering Object-oriented Analysis and Design with UML 2.0,,-,IBM,,-,
93,CS093,Mastering Object-oriented Analysis and Design with UML 2.0,,-,IBM,,-,
94,CS094,Essentials of Test Management with IBM Rational Test Manager V7.0,,-,IBM,,-,
95,CS095,Essentials of IBM Rational Software Architect V7.0,,-,IBM,,-,
96,CS096,Essentials of IBM Rational Software Architect V7.0,,-,IBM,,-,
97,CS097,The  8051 Microcontroller and Embedded Systems,,"Muhammad Ali Mazidi,Janice Gillispie Mazidi,Rolin D.McKinlay",Pearson Education,,-,
98,CS098,The  8051 Microcontroller and Embedded Systems,,"Muhammad Ali Mazidi,Janice Gillispie Mazidi,Rolin D.McKinlay",Pearson Education,,-,
99,CS099,The  8051 Microcontroller and Embedded Systems,,"Muhammad Ali Mazidi,Janice Gillispie Mazidi,Rolin D.McKinlay",Pearson Education,,-,
100,CS100,The  8051 Microcontroller and Embedded Systems,,"Muhammad Ali Mazidi,Janice Gillispie Mazidi,Rolin D.McKinlay",Pearson Education,,-,
101,CS101,The  8051 Microcontroller and Embedded Systems,,"Muhammad Ali Mazidi,Janice Gillispie Mazidi,Rolin D.McKinlay",Pearson Education,,-,
102,CS102,Microprocessors and Interfacing,,Douglas V.Hall,Tata McGraw-Hill Publications,,-,
103,CS103,Microprocessors and Interfacing,,Douglas V.Hall,Tata McGraw-Hill Publications,,-,
104,CS104,Microprocessors and Interfacing,,Douglas V.Hall,Tata McGraw-Hill Publications,,-,
105,CS105,Microprocessors and Interfacing,,Douglas V.Hall,Tata McGraw-Hill Publications,,-,
106,CS106,Theory and Problems of programming  with pascal,,Byron s. Gotterfried.,Tata McGraw-Hill Edition,,-,
107,CS107,Theory and Problems of programming  with pascal,,Byron s. Gotterfried.,Tata McGraw-Hill Edition,,-,
108,CS108,Computer Graphics,,"Donald Hearn,M.Pauline Baker",Prentice Hall of India,,-,
109,CS109,Computer Graphics,,"Donald Hearn,M.Pauline Baker",Prentice Hall of India,,-,
110,CS110,IBM PC AND CLONES,,B.Govindarajalu,Tata McGraw-Hill Publications,,-,
111,CS111,IBM PC AND CLONES,,B.Govindarajalu,Tata McGraw-Hill Publications,,-,
112,CS112,IBM PC AND CLONES,,B.Govindarajalu,Tata McGraw-Hill Publications,,-,
113,CS113,Programming Visual C++,,"David J. Kruglinski, et al.",Microsoft Press,,-,
114,CS114,Programming Visual C++,,"David J. Kruglinski, et al.",Microsoft Press,,-,
115,CS115,Programming Visual C++,,"David J. Kruglinski, et al.",Microsoft Press,,-,
116,CS116,Programming Visual C++,,"David J. Kruglinski, et al.",Microsoft Press,,-,
117,CS117,Programming Visual C++,,"David J. Kruglinski, et al.",Microsoft Press,,-,
118,CS118,Ethics in Engineering,,"Mike W.Martin,Roland Schinzinger",Tata McGraw-Hill Publications,,-,
119,CS119,Ethics in Engineering,,"Mike W.Martin,Roland Schinzinger",Tata McGraw-Hill Publications,,-,
120,CS120,Ethics in Engineering,,"Mike W.Martin,Roland Schinzinger",Tata McGraw-Hill Publications,,-,
121,CS121,Ethics in Engineering,,"Mike W.Martin,Roland Schinzinger",Tata McGraw-Hill Publications,,-,
122,CS122,Digital computer Electronics,,Malvino.Brown,Tata McGraw-Hill Edition,,-,
123,CS123,Database systems,,Peter rob.carlos coronel,Cengage learning,,-,
124,CS124,Database management Systems,,"Arun k Majumdar,Pritimoy Bhattacharya",Tata McGraw Hill,,-,
125,CS125,Fundamentals of Database systems,,Elmasri/Navathe,TheBenjamin/Cummings Publishing company,,-,
126,CS126,Database system concpets,,"Abraham Silberscahatz,Henry F Korth,S.Sudarshan",McGraw-Hill Edition,,-,
127,CS127,Environmental Science and Engineering,,"Anubha Kaushik ,C.P.Kaushik",New Age International Publishers,,150,
128,CS128,Environmental Science and Engineering,,"Anubha Kaushik ,C.P.Kaushik",New Age International Publishers,,150,
129,CS129,Environmental Science and Engineering,,"Anubha Kaushik ,C.P.Kaushik",New Age International Publishers,,150,
130,CS130,Computer Practice- I,,"V. Ramesh Babu,R. Samyukta",VRB,,-,
131,CS131,Fundamentals of Computing,,M. Chandrasekar,Anuradha,,-,
132,CS132,Fundamentals of Computer and Programming,,Meena Vijayabharathi,SaraS,,-,
133,CS133,Fundamentals of Computing,,T. Jeyapoovan,Vikas,,-,
134,CS134,Computer Programming,,"G. Muneeswari,R. S. Ponmagal",Dhanam,,-,
135,CS135,Computer Practice- I,,"R.S. Kumar,    V. Evelyn Brindha",Hi-Tech,,-,
136,CS136,System Programming,,Srimanta pal,Oxford university press,,-,
